STATE CD,STATE,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed
1,Jammu and Kashmir,52455,38766,7246,46012,23864,17338,2218,19556,62528,44930,10794,55724,25413,18405,2742,21147,26079,18699,3037,21736,66074,45665,13146,58811,27196,18497,3746,22243,27817,18381,4144,22525,71741,44615,17719,62334,,,,,,,,,,,,
2,Himachal Pradesh,53013,41795,6847,48642,22018,15849,1590,17439,61691,46919,9479,56398,21474,16263,1712,17975,21456,16321,1952,18273,60956,46128,9939,56067,22180,16298,2230,18528,22607,16260,2490,18750,67470,48805,12721,61526,,,,,,,,,,,,
3,Punjab,220786,184145,22896,207041,86189,70068,2378,72446,247374,208887,26118,235005,84164,72581,2702,75283,84375,73023,3175,76198,254559,215323,28196,243519,85473,73073,3586,76659,86098,72955,4009,76964,264808,218293,33112,251405,,,,,,,,,,,,
4,Chandigarh,20632,16980,3058,20038,9277,7966,354,8320,23418,18942,3409,22351,9465,8211,405,8616,9528,8279,445,8724,24261,19525,3614,23139,9745,8292,511,8803,9830,8293,559,8852,25208,19798,4087,23885,,,,,,,,,,,,
5,Uttarakhand,85370,59399,15968,75367,34516,23113,2832,25945,100078,66450,20810,87260,34094,23403,3358,26761,34556,23613,3852,27465,99756,65197,21949,87146,35615,23140,4562,27702,36218,22807,5021,27828,107596,64849,27793,92642,,,,,,,,,,,,
6,Haryana,260418,210196,39427,249623,106224,90425,3479,93904,302837,237446,49090,286536,109560,93762,4305,98067,111025,94759,4894,99653,321480,247493,55411,302904,113833,95230,5984,101214,115406,95413,6651,102064,343982,255642,65491,321133,,,,,,,,,,,,
7,Delhi,442968,372983,60158,433141,156654,131398,7906,139304,521051,425161,73026,498187,164695,136316,9215,145531,167887,137732,10138,147870,558644,442617,84005,526622,173388,137768,12263,150031,176069,137512,13671,151183,592372,449150,99945,549095,,,,,,,,,,,,
8,Rajasthan,399525,308273,68901,377174,126607,96765,5576,102341,435929,333154,77590,410744,119115,98715,6274,104989,119566,99286,7776,107062,433360,333036,78866,411902,121543,98827,8518,107345,122081,98438,9125,107563,455889,335895,93892,429787,,,,,,,,,,,,
9,Uttar Pradesh,738006,554678,124180,678858,278909,200539,19561,220100,887856,632208,166939,799147,272330,205339,22609,227948,275780,207820,27662,235482,847512,599829,168862,768691,284469,204934,31022,235956,289980,203422,34267,237689,913159,604953,209761,814714,,,,,,,,,,,,
10,Bihar,187455,128425,34627,163052,84976,49200,10471,59671,222312,140800,48649,189449,80757,49283,11591,60874,83269,49940,13222,63162,219776,133902,53336,187238,86656,48109,15966,64075,88999,47436,17304,64740,238741,130725,68820,199545,,,,,,,,,,,,
11,Sikkim,3154,2521,353,2874,1843,1343,215,1558,3804,2770,643,3413,1925,1407,275,1682,1983,1445,298,1743,4003,2811,797,3608,2072,1424,366,1790,2145,1423,395,1818,4449,2805,1143,3948,,,,,,,,,,,,
12,Arunachal Pradesh,4103,2743,683,3426,2893,1654,426,2080,6068,3443,1286,4729,3316,1828,563,2391,3452,1898,649,2547,6705,3660,1705,5365,3592,1885,747,2632,3771,1849,846,2695,8072,3574,2552,6126,,,,,,,,,,,,
13,Nagaland,3917,2301,818,3119,3140,1564,653,2217,4915,2592,1191,3783,3199,1597,765,2362,3272,1576,832,2408,4778,2406,1336,3742,3224,1513,896,2409,3218,1474,924,2398,4904,2230,1566,3796,,,,,,,,,,,,
14,Manipur,4283,2860,609,3469,3367,1942,442,2384,6564,3787,1147,4934,4160,2153,601,2754,4393,2234,676,2910,7712,4026,1539,5565,4792,2255,818,3073,4940,2236,869,3105,8603,3901,2089,5990,,,,,,,,,,,,
15,Mizoram,2451,1720,319,2039,1965,1232,290,1522,3300,2101,535,2636,2275,1364,347,1711,2370,1399,363,1762,3748,2284,670,2954,2479,1419,399,1818,2578,1461,417,1878,4048,2309,789,3098,,,,,,,,,,,,
16,Tripura,13528,10411,1740,12151,6493,4496,710,5206,16398,11658,2798,14456,6743,4621,832,5453,6966,4679,1006,5685,16864,11299,3412,14711,7129,4581,1129,5710,7224,4554,1217,5771,17562,10884,4295,15179,,,,,,,,,,,,
17,Meghalaya,11989,7830,2032,9862,7595,4171,1293,5464,14696,8521,3163,11684,8161,4409,1561,5970,8403,4517,1679,6196,15398,8677,3606,12283,8752,4358,1913,6271,8845,4270,2059,6329,16327,8402,4456,12858,,,,,,,,,,,,
18,Assam,97283,58279,19372,77651,56748,29892,6916,36808,114311,64329,26079,90408,54732,30510,7683,38193,55786,30609,8733,39342,114563,62828,28490,91318,56208,29477,9879,39356,57763,29012,10670,39682,122022,59686,35567,95253,,,,,,,,,,,,
