Code,State,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed
1,Jammu and Kashmir,37744,18332,5841,24173,39310,18212,6338,24550,77492,43970,22259,66229,40446,17243,7882,25125,39808,15775,9543,25318,81069,31358,37460,68818,39392,6639,19133,25772,39302,7751,18091,25842,84692,13643,56821,70464,38866,7859,18388,26247,38756,7700,18584,26284,88878,11122,60459,71581
2,Himachal Pradesh,27825,15122,2705,17827,30075,15257,2908,18165,75206,51695,15407,67102,31646,14848,3796,18644,30728,13763,4985,18748,79070,39513,30796,70309,30015,6485,12612,19097,29849,8143,11078,19221,82700,13152,59867,73019,29226,8682,10767,19449,28879,8580,10917,19497,86666,12158,63007,75165
3,Punjab,99334,70237,4863,75100,103832,70414,5304,75718,284602,220639,39921,20600560,104604,68221,8112,76333,102000,64436,12214,76650,289976,164286,10020763,20670049,99720,41319,35888,77207,98397,49526,27843,77369,294776,69002,20030555,20720557,96791,51294,26645,77939,95685,50656,27321,77977,302783,57789,20180499,20760288
4,Chandigarh,11692,7816,676,8492,12089,7824,729,8553,27243,19834,4719,24553,11708,7561,1092,8653,11118,7051,1611,8662,27051,15260,9742,25002,10825,4269,4448,8717,10616,5213,3522,8735,27347,6791,18695,25486,10436,5466,3355,8821,10294,5320,3511,8831,27600,6209,19352,25561
5,Uttarakhand,52360,22341,5865,28206,53901,22049,6482,28531,118806,63036,35051,98087,54910,20710,8389,29099,53463,19128,10099,29227,122477,47200,54905,10020105,49944,7005,22657,29662,48590,9796,19876,29672,123658,17890,86874,10040764,44859,10293,19786,30079,44209,10257,19788,30045,128280,15951,91938,10070889
6,Haryana,155733,97411,10159,10070570,161212,97518,11176,10080694,381930,263247,75161,30380408,166252,93663,16828,10100491,165152,87089,24030,10110119,399083,194769,10560667,30510436,161513,42906,69652,10120558,160836,57569,55367,10120936,416803,83038,20790325,30620363,155966,61372,52715,10140087,151260,60664,53516,10140180,421476,73250,20940193,30670443
7,Delhi,255883,132080,20284,10520364,262865,131689,22327,10540016,653936,443138,10250560,50680698,269332,124954,31851,10560805,268583,113527,44375,10570902,674957,310702,20740308,50850010,255869,51615,10080557,10600172,254489,74681,86005,10600686,700345,115231,40810123,50960354,252487,79416,83039,10620455,250214,78141,84789,10620930,730364,104042,50010219,60050261
8,Rajasthan,181698,98521,13880,10120401,194250,98361,14768,10130129,500417,337189,10110254,40480443,195360,93660,20811,10140471,193037,86077,28773,10140850,511436,246708,20170337,40640045,180725,37374,78825,10160199,176831,56359,59750,10160109,530594,100526,30740158,40740684,171569,62254,54750,10170004,168653,60072,57066,10170138,551432,79540,40060210,40850750
9,Uttar Pradesh,383357,213362,43809,20570171,402114,213473,47451,20600924,1006440,614622,20520297,80660919,418258,202405,63794,20660199,414163,188053,80101,20680154,1050898,468795,40340114,90020909,403018,61008,20120064,20730072,397911,90244,10830258,20730502,1080975,149746,70780405,90280151,383854,94203,10820842,20770045,375418,90656,10860812,20770468,1108438,136513,80050895,90420408
10,Bihar,118734,45439,21579,67018,126369,45270,23080,68350,260084,131434,83874,20150308,130716,42723,27746,70469,128175,39292,31870,71162,274935,106846,10200446,20270292,126876,12496,60347,72843,124574,14773,58402,73175,287360,30721,20050063,20350784,121125,15278,59426,74704,118861,14459,60815,75274,304255,25481,20180730,20440211
