State,Code,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed
1,Jammu and Kashmir,83180,13540,13997,27537,76769,12479,15091,27570,83835,19860,52659,72519,48665,3764,24406,28170,46482,5115,23280,28395,88382,33086,40836,73922,40367,6289,22650,28939,37461,7315,21903,29218,84627,48387,26830,75217,45594,12473,26726,39199,44931,14318,25668,39986,84140,29823,48083,77906
2,Himachal Pradesh,85603,14787,5502,20289,75572,13881,6500,20381,85305,38125,40380,78505,34872,6182,14611,20793,33395,7509,13463,20972,89380,54419,27049,81468,29840,8752,12740,21492,28848,9313,12418,21731,91034,67737,16333,84070,40247,16126,18550,34676,40011,18216,17701,35917,90790,41240,45726,86966
3,Punjab,311538,71979,15589,87568,286301,68215,19593,87808,312776,162514,10230761,20860275,125200,37751,51119,88870,120831,42958,46257,89215,318929,206048,86813,20920861,113974,47342,42487,89829,111535,49890,40435,90325,323550,261254,38046,20990300,144846,81466,44653,10260119,144289,88853,39930,10280783,30180519,20090730,94009,30030739
4,Chandigarh,27061,7753,1737,9490,24413,7324,2170,9494,26720,14988,10427,25415,12533,4291,5257,9548,11962,4900,4662,9562,27174,18792,6845,25637,11638,5512,4097,9609,11277,5870,3784,9654,26992,22633,3274,25907,12935,7487,4767,12254,12728,8261,4139,12400,26399,17697,8447,26144
5,Uttarakhand,131130,23385,11143,34528,113453,21629,13098,34727,130093,48813,66123,10140936,63308,8113,27423,35536,61226,10542,25328,35870,138271,67081,52307,10190388,55999,12050,24797,36847,53588,13215,24098,37313,140248,89694,34578,10240272,71286,24007,35181,59188,69175,27077,33841,60918,10380667,59508,69153,10280661
6,Haryana,422507,106227,31377,10370604,384273,99951,38143,10380094,424733,204251,10790067,30830318,216203,50298,90535,10400833,208829,60014,82371,10420385,444211,272954,10250632,30980586,197957,64929,79495,10440424,192342,69943,76256,10460199,454238,344564,67770,40120334,236575,106627,94333,20000960,231251,121858,83486,20050344,40380177,20610060,10560133,40170193
7,Delhi,749164,143262,60447,20030709,684312,132143,71560,20030703,735720,304325,30250508,60290833,377107,63323,10440779,20080102,358920,79685,10300707,20100392,764172,431348,20170515,60480863,333237,92476,10210472,20130948,323065,100713,10160629,20170342,767321,559256,10100867,60700123,376806,158795,10480201,30060996,362361,182246,10290746,30110992,70170401,40510790,20220609,60740399
8,Rajasthan,550394,104901,33127,10380028,502451,98873,39575,10380448,556868,255347,20570681,50130028,233458,45155,96288,10410443,221561,56141,86234,10420375,582052,338909,10950306,50340215,198905,59784,84409,10440193,191155,63232,82410,10450642,594970,441179,10130356,50540535,254447,109499,10140554,20240053,254024,127979,10050364,20330343,50900776,30110408,20590403,50700811
9,Uttar Pradesh,1149884,214720,10150909,30300629,1037981,200309,10300316,30300625,1134575,396346,50990282,90950628,560923,59463,20790326,30380789,535952,81653,20600754,30420407,1210642,561852,40790937,100410789,495943,96105,20550134,30510239,477702,102581,20530881,30560462,1231355,795860,20890872,100850732,676361,242574,30270277,50690851,652080,271211,30120628,50830839,120030078,50300623,50880366,110180989
10,Bihar,318417,48046,43609,91655,290976,42723,49097,91820,326795,67713,20080023,20750736,182406,9918,84828,94746,174793,13343,82555,95898,355383,127472,10610469,20880941,163328,17578,80867,98445,160483,17471,82340,99811,372999,186736,10170072,30030808,223136,44357,10180912,10630269,218799,52891,10160602,10690493,30760756,10010354,20180690,30200044
