code,State,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed
1,Jammu and Kashmir,72923,25835,41994,67829,75470,44513,24960,69473,77492,45901,24654,70555,78995,49998,21787,71785,80214,47009,25839,72848,81069,50507,23174,73681,82347,48213,26418,74631,83494,50329,24475,74804,84692,52012,23641,75653,86258,38272,38486,76758,87367,58457,19073,77530,88878,42179,36282,78461
2,Himachal Pradesh,69050,31904,33361,65265,72862,48591,18797,67388,75206,48706,20093,68799,76985,54820,15463,70283,78385,48848,22509,71357,79070,54882,17311,72193,80106,52335,21063,73398,81318,54809,18835,73644,82700,54247,20439,74686,84114,50257,25407,75664,85293,61666,14885,76551,86666,47265,30186,77451
3,Punjab,272274,114352,142951,257303,280783,217583,43633,261216,284602,215329,48741,264070,287287,232762,33910,266672,289432,212773,56353,269126,289976,228333,42475,270808,291913,216623,56441,273064,293460,222370,51051,273421,294776,221141,54258,275399,297867,194747,82314,277061,300089,243210,35485,278695,302783,180946,99736,280682
4,Chandigarh,26258,11339,12983,24322,27036,19415,5285,24700,27243,19508,5463,24971,27105,21142,3988,25130,27027,18479,6796,25275,27051,20876,4557,25433,27070,19409,6279,25688,27088,20036,5621,25657,27347,19856,6003,25859,27519,17279,8635,25914,27639,21889,4107,25996,27600,16890,9187,26077
5,Uttarakhand,111971,43545,54892,98437,115537,66131,34538,100669,118806,67038,35391,102429,120793,75202,28722,103924,122691,68074,37282,105356,122477,76925,29701,106626,123042,69251,38699,107950,123517,74326,33052,107378,123658,74438,34324,108762,124350,68508,41555,110063,126171,82580,28831,111411,128280,65668,47188,112856
6,Haryana,360761,154097,177446,331543,372922,254189,84708,338897,381930,254451,89722,344173,389114,280221,68296,348517,396878,244035,109752,353787,399083,278671,79556,358227,405863,255866,106375,362241,411169,269657,93498,363155,416803,268109,99460,367569,418669,238314,131166,369480,419885,295280,76719,371999,421476,227071,147726,374797
7,Delhi,623319,217422,345386,562808,639783,403765,167859,571624,653936,404902,174432,579334,665507,446459,138671,585130,676767,394582,197070,591652,674957,441412,155577,596989,682591,400791,200869,601660,691377,426402,173019,599421,700345,422173,181791,603964,710945,378344,229585,607929,719691,466283,145831,612114,730364,350449,266539,616988
8,Rajasthan,468999,197238,242336,439574,489282,324757,123011,447768,500417,323793,130590,454383,507666,359076,100186,459262,515229,319734,145426,465160,511436,360304,110241,470545,520284,331550,143199,474749,524911,355301,118955,474256,530594,351397,127327,478724,538347,321323,162370,483693,545177,388285,100655,488940,551432,283715,209453,493168
9,Uttar Pradesh,942586,450409,416523,866932,980551,674423,214736,889159,1006440,680700,222824,903524,1025384,742098,174720,916818,1044299,676291,254379,930670,1050898,755637,187247,942884,1062525,701749,255869,957618,1073550,737803,218353,956156,1080975,734114,232832,966946,1090269,654207,321002,975209,1099973,786853,195681,982534,1108438,611866,377742,989608
10,Bihar,240037,80364,135872,216236,252071,134502,87726,222228,260084,137946,88536,226482,266099,158675,72400,231075,271330,144832,90111,234943,274935,158657,80139,238796,280869,143889,99800,243689,283871,159756,82995,242751,287360,164682,82435,247117,294065,151961,99930,251891,298702,180476,75289,255765,304255,133011,125183,258194
