Code,State,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed
1,Jammu and Kashmir,89187,53407,78332,78341,90152,55801,23300,79101,90874,58011,21596,79607,91798,24045,55380,79425,92245,22247,57195,79442,92462,20236,59374,79610,92639,22509,57447,79956,92563,48036,32257,80293,92194,41704,39132,80836,91657,58255,21473,79728,91600,50491,29125,79616,85741,6664,73352,80016
2,Himachal Pradesh,87028,54886,76735,76739,87431,58269,18971,77240,88064,59218,18537,77755,89185,63275,15412,78687,89648,59229,19965,79194,89912,53664,26187,79851,90006,58497,21777,80274,89632,68341,12210,80551,88745,58036,22907,80943,86096,68670,12561,81231,85952,64425,17319,81744,86286,5181,77006,82187
3,Punjab,305087,221602,279876,279882,307464,233708,47820,281528,308875,236113,46288,282401,310093,247086,36670,283756,310860,232651,52135,284786,311089,207659,78495,286154,309832,222827,64596,287423,309106,257371,31019,288390,308579,222772,67336,290108,309304,259004,32626,291630,310694,233143,59835,292978,312194,13308,281145,294453
4,Chandigarh,27554,19710,25814,25814,27558,20499,5362,25861,27619,20687,5219,25906,27665,21850,4077,25927,27609,20501,5435,25936,27465,18921,7067,25988,27272,20109,6033,26142,27089,22746,3360,26106,27106,20143,6075,26218,27154,22918,3319,26237,27165,20625,5641,26266,27176,1616,24671,26287
5,Uttarakhand,128920,75376,111410,111425,128392,79157,33303,112460,129422,81379,31805,113184,131061,86489,27947,114436,131538,80958,34446,115404,131532,74512,41906,116418,131053,80628,36621,117249,129677,95738,22456,118194,128458,81731,37697,119428,129146,97984,22493,120477,130276,90875,30715,121590,131773,10376,111701,122077
6,Haryana,422912,269729,373644,373649,423730,286627,89178,375805,423764,289880,86628,376508,424544,307634,70695,378329,425499,287072,92992,380064,423483,257257,125460,382717,424856,277993,106797,384790,424839,326676,60895,387571,424443,277565,112414,389979,424329,328225,62961,391186,421659,300609,93041,393650,423351,26737,367278,394015
7,Delhi,740341,422298,615933,615951,752005,450318,171382,621700,759157,461103,164384,625487,765931,490239,140112,630351,767326,458504,175583,634087,766277,406663,231557,638220,757603,437967,204139,642106,756133,522257,123983,646240,746559,455755,195495,651250,745423,535714,118963,654677,750648,474600,182794,657394,752110,43809,610127,653936
8,Rajasthan,553708,348235,487170,487188,557836,372067,118868,490935,560439,380086,114009,494095,561513,402141,96030,498171,560642,374398,126153,500551,559918,337154,167045,504199,561583,364694,143447,508141,559753,430679,80932,511611,541872,363953,151394,515347,543495,437636,80434,518070,547860,390373,132269,522642,552190,22784,503115,525899
9,Uttar Pradesh,1113803,712174,977646,977702,1112907,757325,228051,985376,1118687,769580,221351,990931,1127309,821714,178017,999731,1128388,762734,244577,1007311,1126122,708901,307648,1016549,1126652,754708,271084,1025792,1124411,841108,194610,1035718,1127354,735013,311472,1046485,1133999,893078,165484,1058562,1144874,831119,238796,1069915,1155076,81270,991225,1072495
10,Bihar,305442,156163,256179,256207,307632,167178,91372,258550,313451,174259,86170,260429,317629,190532,73847,264379,320572,173788,93951,267739,325576,162772,108976,271748,330399,177035,98942,275977,333051,215164,64371,279535,332886,188787,95818,284605,332957,226390,63088,289478,314833,205516,87445,292961,320339,22748,273305,296053
