State Cd,State,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23
01,Jammu and Kashmir, 429.40 , 340.75 , 360.83 , 385.16 , 361.00 , 361.92 , 442.35 , 398.69 , 363.79 , 426.45 , 369.39 , 404.07 
02,Himachal Pradesh, 302.23 , 242.85 , 206.57 , 297.45 , 234.54 , 204.84 , 306.32 , 263.38 , 184.10 , 303.59 , 205.47 , 225.12 
03,Punjab, 947.10 , 747.09 , 750.22 , 784.05 , 794.35 , 788.68 ," 1,141.98 ", 881.40 , 848.89 ," 1,035.13 "," 1,100.40 "," 1,025.90 "
04,Chandigarh, 114.52 , 107.93 , 96.34 , 113.82 , 113.57 , 104.11 , 134.40 , 137.06 , 117.70 , 126.82 , 127.79 , 115.61 
05,Uttarakhand, 177.80 , 175.13 , 164.94 , 235.02 , 234.21 , 127.04 , 264.66 , 256.62 , 225.43 , 243.22 , 198.53 , 141.96 
06,Haryana," 1,078.80 ", 703.12 , 836.46 , 913.82 , 713.43 ," 1,047.33 "," 1,313.49 "," 1,074.79 "," 1,001.26 "," 1,237.32 ", 975.08 , 933.97 
07,Delhi," 1,319.31 "," 1,024.38 ", 800.39 ," 1,001.40 "," 1,027.11 "," 1,067.03 "," 1,461.82 "," 1,279.24 "," 1,183.01 "," 1,241.49 "," 1,092.96 "," 1,129.61 "
08,Rajasthan," 1,581.31 "," 1,325.17 "," 1,291.80 "," 1,415.26 "," 1,358.77 "," 1,241.75 "," 1,755.03 "," 1,616.56 "," 1,712.57 "," 1,784.43 "," 1,576.83 "," 1,681.96 "
09,Uttar Pradesh," 3,338.01 "," 2,923.57 "," 3,007.22 "," 2,936.11 "," 2,676.53 "," 2,691.85 "," 3,137.74 "," 3,143.58 "," 3,259.36 "," 3,324.61 "," 3,061.07 "," 3,174.85 "
10,Bihar," 1,289.99 "," 1,211.53 "," 1,316.50 "," 1,346.63 "," 1,176.43 "," 1,135.63 "," 1,382.00 "," 1,299.56 "," 1,094.76 "," 1,331.83 "," 1,256.41 "," 1,264.21 "
11,Sikkim, 53.97 , 37.24 , 38.08 , 45.31 , 38.77 , 30.33 , 50.15 , 46.51 , 45.73 , 52.53 , 45.24 , 40.07 
12,Arunachal Pradesh, 104.88 , 96.25 , 97.34 , 83.43 , 81.47 , 80.91 , 89.11 , 97.62 , 84.86 , 104.42 , 91.59 , 106.07 
13,Nagaland, 65.53 , 59.05 , 55.85 , 56.12 , 62.40 , 56.46 , 66.12 , 57.74 , 60.64 , 68.00 , 55.57 , 58.13 
14,Manipur, 86.93 , 96.71 , 88.74 , 85.36 , 79.62 , 86.01 , 98.28 , 87.11 , 96.07 , 102.72 , 97.40 , 93.16 
15,Mizoram, 63.01 , 55.14 , 56.28 , 46.41 , 49.64 , 48.49 , 51.83 , 56.69 , 52.85 , 58.10 , 58.34 , 55.94 
16,Tripura, 87.51 , 73.71 , 71.57 , 80.16 , 74.82 , 74.74 , 93.29 , 78.20 , 79.81 , 108.91 , 86.19 , 73.58 
17,Meghalaya, 84.49 , 74.85 , 79.71 , 77.85 , 67.95 , 76.85 , 74.49 , 87.16 , 84.98 , 96.79 , 89.30 , 70.55 
18,Assam, 523.55 , 570.10 , 526.48 , 498.95 , 497.20 , 555.67 , 683.13 , 607.56 , 637.96 , 684.18 , 650.89 , 661.79 
19,West Bengal," 1,179.40 "," 1,074.15 "," 1,169.05 "," 1,316.15 "," 1,204.21 "," 1,338.96 "," 1,728.69 "," 1,264.38 "," 1,631.47 "," 1,379.75 "," 1,666.52 "," 1,348.16 "
20,Jharkhand, 256.10 , 240.93 , 200.50 , 298.94 , 253.05 , 205.93 , 269.41 , 290.40 , 247.89 , 391.60 , 258.45 , 370.06 
21,Odisha, 63.13 , 163.37 , 212.37 , 383.97 , 362.97 , 291.93 , 572.98 , 439.98 , 527.04 , 617.01 , 506.59 , 574.33 
22,Chhattisgarh, 265.33 , 105.35 , 164.85 , 283.42 , 246.29 , 230.99 , 361.98 , 392.31 , 416.03 , 282.51 , 328.95 , 393.53 
23,Madhya Pradesh," 1,314.97 "," 1,141.17 "," 1,202.46 "," 1,231.65 "," 1,068.07 "," 1,026.98 "," 1,388.01 "," 1,437.08 "," 2,150.41 "," 1,355.66 "," 1,290.45 "," 1,368.39 "
24,Gujarat," 1,161.48 "," 1,120.88 "," 1,226.31 "," 1,439.52 "," 1,237.68 "," 1,332.96 "," 1,909.97 "," 1,445.20 "," 1,788.81 "," 1,899.35 "," 1,953.94 "," 1,917.66 "
25,Daman and Diu, 0.08 , 0.05 , 0.05 , 0.15 , 0.05 , 0.05 , 0.32 , 0.07 , 0.05 , 0.03 , 0.03 , 0.01 
26,Dadra and Nagar Haveli, 55.14 , 45.28 , (19.73), 32.33 , 38.49 , 32.09 , 53.16 , 35.89 , 46.24 , 66.96 , 34.46 , 35.62 
27,Maharashtra," 3,023.62 "," 2,443.26 "," 2,770.83 "," 3,248.48 "," 2,958.86 "," 3,144.96 "," 4,113.90 "," 3,241.31 "," 3,828.75 "," 4,149.42 "," 3,520.86 "," 3,282.38 "
29,Karnataka," 2,099.79 "," 1,852.85 "," 1,967.07 "," 2,309.50 "," 2,092.93 "," 2,257.19 "," 2,887.93 "," 2,366.37 "," 2,540.15 "," 2,795.63 "," 2,454.29 "," 2,353.05 "
30,Goa, 140.75 , 99.91 , 95.71 , 111.77 , 111.41 , 80.25 , 131.66 , 140.12 , 118.29 , 136.79 , 132.61 , 141.51 
31,Lakshadweep, 2.44 , 1.37 , 1.69 , 2.56 , 1.31 , 1.23 , 1.88 , 1.61 , 1.52 , 10.40 , 2.27 , 8.86 
32,Kerala," 1,356.69 "," 1,156.16 "," 1,221.72 "," 1,227.62 "," 1,599.66 "," 1,420.95 "," 1,392.20 "," 1,218.36 "," 1,290.32 "," 1,326.35 "," 1,335.47 "," 1,340.72 "
33,Tamil Nadu," 1,679.79 "," 1,529.08 "," 1,652.14 "," 1,558.49 "," 1,382.28 "," 1,726.98 "," 2,047.27 "," 1,548.91 "," 1,628.33 "," 2,114.53 "," 1,371.43 "," 1,769.14 "
34,Puducherry, 55.44 , 44.85 , 52.96 , 53.12 , 54.86 , 46.88 , 46.67 , 60.31 , 47.64 , 52.73 , 58.69 , 57.11 
35,Andaman and Nicobar Islands, 23.65 , 20.79 , 22.79 , 22.35 , 31.67 , 21.46 , 25.82 , 24.00 , 32.21 , 25.29 , 23.58 , 21.50 
36,Telangana," 1,498.55 "," 1,343.91 "," 1,423.61 "," 1,514.30 "," 1,493.73 "," 1,579.53 "," 1,821.79 "," 1,770.71 "," 2,143.07 "," 1,827.64 "," 1,887.64 "," 1,832.29 "
37,Andhra Pradesh," 1,092.57 ", 847.09 , 961.32 ," 1,281.95 "," 1,280.35 "," 1,200.74 "," 1,515.38 "," 1,322.74 "," 1,422.72 "," 1,795.40 "," 1,025.31 "," 1,461.92 "
38,Ladakh, 19.93 , 14.62 , 27.01 , 39.30 , 41.89 , 38.29 , 48.06 , 37.36 , 29.28 , 24.43 , 14.04 , 11.38 
97,Other Territory, 25.21 , 13.06 , 36.84 , 16.53 , 17.30 , 41.86 , 20.15 , 31.35 , 70.42 , 41.62 , 49.72 , 142.73 
