Code,State,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS
1,Jammu and Kashmir,115.22,179.62,73.98,3.24,70.64,119.26,72.76,4.37,70.7,118.98,72.19,4.17,80.44,134.72,95.6,7.18,72.77,129.47,99.01,4.02,78.61,129.74,123.85,4.65,84.91,133.23,103.03,2.89,75.86,126.52,82.08,1.83,77.94,135.15,78.59,0.87,94.44,160.06,75.29,1.41,97.04,139.25,67.29,1.95,125.1,180.28,77.31,4.93
2,Himachal Pradesh,89,136.03,420.85,1.48,74.41,116.87,453.88,1.05,81.13,128.37,430.09,1.43,85.42,131.11,399.77,1.2,77.46,121.38,362.27,1.2,79.1,118.53,450.11,0.8,78.77,124.54,445.78,1.55,97.55,141.13,427.71,0.99,89.7,139.61,364.69,0.73,88.48,145.29,410.31,2.67,89.32,131.21,388.59,0.87,99.83,156.91,402.95,0.56
3,Punjab,310.8,498.89,432.61,17,238.11,397.66,488.23,16.26,247.77,438.45,487.93,18.17,265.76,453.4,436.09,16.18,247.75,409.91,427.29,11.83,250.89,406.1,445.78,14.31,268.78,431.2,417.09,12.39,270.59,469.34,472.79,7.04,273.49,459.58,422.78,6.62,296.89,529.1,374.68,15.36,267.7,453.2,370.14,9.01,282.15,454.34,419.6,9.93
4,Chandigarh,33.73,46.45,101.44,0.23,26.95,36.52,68.8,0.07,25.3,39.45,70.78,0.39,29.85,41.03,76.75,0.3,28.64,39.93,70.85,0.16,26.98,40.93,75.28,0.18,26.08,34.78,80.06,0.3,30.18,40.81,74.4,0.12,28.68,40.64,73.33,0.22,31.08,50.15,76.46,1.35,27.91,41.39,76.98,0.32,32.95,44.79,84.06,0.19
5,Uttarakhand,211.55,355.89,924.78,22.56,160.39,303.99,761.51,20.84,164.06,309.77,770.63,21.28,179.41,321.93,889.7,17.07,158.9,297.24,549.46,14.57,157.81,289.72,779.54,19.52,179.39,341.43,868.64,21.38,167.82,339.53,616.85,23.36,154.25,292.68,591.46,16.84,175.9,303.33,652.76,13.63,188.06,334,691.58,23.87,203.32,360.47,862.33,24.97
6,Haryana,713.35,1100.32,2982.04,334.22,690.59,1015.29,2515.98,351.88,709.27,1090.65,2436.53,398.01,680.22,1003.56,2311.71,299.16,711.49,1088.28,2281.42,292.7,688.7,1039.91,2156.43,307.1,707.73,1053.81,2373.95,325.75,779.15,1068.72,2522.08,307.7,657.02,971.09,2690.77,327.43,728.94,1065.15,2679.34,341.3,694.39,1063.16,2819.9,295.48,758.85,1130.39,2363.2,308.61
7,Delhi,1104.77,1331.57,1682.85,78.81,631.29,797.35,1402.19,84.07,619.82,795.18,1601.91,86.36,662.98,834.08,1513.8,83.97,655.04,825.96,1440.66,92.92,620.52,787.04,1642.9,89.04,666.38,859.74,1671.15,89.82,670.85,878.22,1632.11,95.54,651.25,845.01,1574.84,89.23,693.59,945.91,1782.94,102.72,712.53,918.26,1704.35,87.15,796.37,1020.89,1812.43,92.73
8,Rajasthan,659.25,903.88,903.75,141.83,637.6,849,874.09,132.95,606.52,833.73,849.49,133.21,642.58,891.91,788.09,130.94,570.64,796.9,748.83,124.02,559.53,773.57,781.36,129.02,672.05,949.11,820.3,112.44,691.17,970.8,877.69,124.38,668.7,924.61,752.85,110.26,709.63,1036.73,898.3,131.28,693.31,987.15,875.8,120.23,868.36,1242.86,895.33,125.86
9,Uttar Pradesh,1333.81,2119.31,1545.27,1029.82,974.78,1505.89,1302.66,838.95,1012.53,1598.76,1373.69,999.58,1055.82,1637.23,1280.82,1009.23,935.42,1452.78,1353.17,1022.19,917.49,1408.93,1438.67,1046.85,1023.37,1580.76,1327.72,903.22,1048.55,1616.45,1386.29,1107.06,1065.01,1622.84,1206.53,1062.4,1159.61,1864.8,1337.12,1123.98,1064.13,1672.16,1299.49,1076.61,1239.86,1872.29,1391.67,1043.93
10,Bihar,205.91,425.05,108.9,173.69,167.85,335.01,119.73,116.8,178.75,365.73,87.86,128.78,194.84,393.18,100.65,162.54,192.94,357.08,127.57,168.23,195.55,374.04,90.67,170.28,197.94,397.09,92.46,124.94,217.43,393.99,141.33,161.93,220.52,393.52,118.85,176.37,253.9,453.13,137.64,194.78,244.3,433.18,113.47,170.2,325.71,551.15,125.81,174.32
