,,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS
1,Jammu and Kashmir,31.54,37.12,22.4,0.07,40.12,62.74,24.51,1.74,81.16,136.31,82.44,24.85,75.26,130.33,85.74,6.41,69.61,121.56,130.32,4.34,82.69,143.84,135.3,5.73,98.23,163.62,111.29,4,90.53,146.67,118.19,2.96,79.38,132.41,104.72,1.93,105.16,173.06,93.79,2.39,97.22,141.12,89.88,1.67,99.41,163.18,85.98,3.05
2,Himachal Pradesh,26.47,31.59,68.84,0.01,53.06,72.24,146.39,0.35,106.71,152.67,357.99,1.11,101.82,147.45,354.21,1.59,99.84,140.79,354.85,1.19,104.81,151.8,396.03,0.72,113.59,163.03,413.5,0.85,112.51,160.45,480.98,0.89,114.45,165.7,389.03,0.6,117.58,173.84,420.2,1.66,108.92,146.62,406.83,0.75,117.59,157.05,411.72,0.52
3,Punjab,85.14,101.94,86.29,0.19,171.32,240.63,236.13,8.79,358.69,508.07,429.31,27.32,308.75,489.57,364.63,24.8,277.24,457.08,385.82,18.28,287.83,483.73,408.77,14.12,331.48,538,492.66,14.07,321.43,547.01,506.28,12.79,341.87,531.68,469.65,9.55,324.76,566.74,444.35,16.11,330.06,510.88,447.67,10.77,349.54,544.35,450.88,17.08
4,Chandigarh,8.35,9.34,22.64,0.01,16.16,22.06,63.58,1.64,26.85,35.2,94.76,1.88,25.66,36.67,73.99,1.01,26.34,36.61,74.88,0.69,25.99,33.18,81.77,0.54,26.27,34.38,90.63,0.7,26.99,35.08,78.14,0.62,29.46,40.69,87.61,0.58,29.08,47.61,85.97,2.75,28.96,37.94,81.17,0.43,31.81,41.05,91.94,0.47
5,Uttarakhand,49.79,61.95,141.63,3.26,144.48,169.64,299.17,0.56,184.09,238.62,469.81,2.42,190.62,247.02,543.15,7.01,184.6,249.44,564.19,7.52,205.63,276.95,572.43,9.73,228.93,335.97,696.31,11.01,203.34,322.55,746.84,9.04,209.05,337.51,689.89,9.07,218.53,327.66,669.94,9.92,212.69,308.44,647.44,12.56,230.19,354.39,711.04,7.95
6,Haryana,211.72,253.8,"1,088.94",152.17,424.52,546.11,"1,556.33",81.59,711.02,877.04,"1,998.31",108.01,610.55,804.19,"1,854.27",213.67,678.38,942,"2,379.33",373.29,740.22,"1,047.96","2,562.57",360.57,866.24,"1,195.76","2,974.08",396.6,890.35,"1,258.37","3,310.03",447.24,938.74,"1,280.79","3,101.35",425.7,926.71,1286.91,3258.17,430.19,859.97,1198.15,3118.85,412.84,930.02,1260.76,3104.72,414.11
7,Delhi,216.38,240.7,526.28,6.55,415.34,494.26,"1,191.82",57.35,651.98,762.24,"1,790.25",44.72,521.96,653.17,"1,375.08",78.56,565.26,697.42,"1,535.08",82.5,615.34,760.64,"1,703.68",65.83,637.63,813.34,"1,682.87",76.8,644.52,822.08,"1,819.47",87.85,700.97,876.38,"1,784.56",88.83,713.35,922.79,2039.99,111.07,720.27,892.96,2026.94,87.29,783.41,951.94,2090.31,100.31
8,Rajasthan,177.78,183.86,92.62,42.59,378.98,462.99,525.58,47.44,798.07,"1,037.00",826.39,112.64,754.18,"1,032.19",856.3,153.98,693.35,951.07,836.91,100.6,702.76,934.71,900.02,109.26,739.26,"1,018.54","1,072.02",135.5,777.47,"1,056.07","1,119.27",165.94,790.7,"1,095.76","1,078.66",170,835.13,1129.36,1160.17,152.94,814,1068.46,1154.85,186.39,852.35,1132.52,1236.91,130
9,Uttar Pradesh,312.71,376.23,284.2,17.04,710.13,945.84,757.95,768.52,"1,251.89","1,775.86","1,277.66",888.06,"1,115.50","1,785.56","1,131.20","1,066.67","1,076.44","1,659.68","1,264.98","1,096.41","1,143.83","1,700.43","1,284.24",946.32,"1,207.81","1,768.71","1,466.60","1,027.69","1,160.63","1,754.21","1,624.17",951.63,"1,342.85","1,997.63","1,536.36","1,058.78",1358.1,2037.09,1526.81,963.7,1281.2,1790.55,1626.48,1298.4,1533.88,2119.04,1785.63,826.45
10,Bihar,112.93,137.57,32.05,0.03,167.53,248.01,68.95,123.6,341.6,569.77,119.18,131.83,296.99,467.12,107.17,189.51,249,437,121.21,159.63,263.48,458.23,114.14,159.91,277.08,478.33,119.11,135.93,249.95,459.53,121.02,131.57,280.55,484.7,129.8,172.16,316.82,576.72,128.4,168.14,302.68,468.16,168.6,188.55,347.2,581.77,150.9,115.88
