State Code,State Name,Year,Month,Intra_State_No_Of_Suppliers,Intra_State_No_Of_Eway_Bills,Intra_State_Asset_Value_Rs._In_Cr,Inter_State_Outward_No_Of_Suppliers,Inter_State_Outward_No_Of_Eway_Bills,Inter_State_Outward_Asset_Value_Rs_ In_Cr,Inter_State_Inward_No_Of_Suppliers,Inter_State_Inward_No_Of_Eway_Bills,Inter_State_Inward_Asset_Value_Rs._In_Cr
1, JAMMU AND KASHMIR,2018,7,3171,120989,20837662088,1711,25744,22435088373,15449,151999,45671246182
2, HIMACHAL PRADESH,2018,7,5581,185647,36063718240,4342,225165,91391668114,19921,264357,73490620659
3, PUNJAB,2018,7,48967,1327692,266083336329,40582,658742,198000000000,53191,599862,212000000000
4, CHANDIGARH,2018,7,1950,25684,4069713058,4534,67147,11423602124,7469,91630,19979548649
5, UTTARAKHAND,2018,7,8776,495449,78295752739,6308,298486,151000000000,18987,406753,123000000000
6, HARYANA,2018,7,50698,2373359,408718326580,46642,1810409,519000000000,76656,1306910,488000000000
7, DELHI,2018,7,43214,681221,215452831070,104197,1292894,321000000000,99571,1106377,370000000000
8, RAJASTHAN,2018,7,52193,1237285,262777399163,39430,1018174,244000000000,72651,849514,300000000000
9, UTTAR PRADESH,2018,7,85448,2485159,494144063772,57189,1029488,431000000000,130330,1543210,555000000000
10, BIHAR,2018,7,4282,181249,51464680289,5024,46123,19984445861,39139,388765,116000000000
11, SIKKIM,2018,7,101,2316,354523840,159,6650,19810749157,1344,24042,6281759205
12, ARUNACHAL PRADESH,2018,7,72,1780,220510202,129,1576,707099394,1870,15791,3013919967
13, NAGALAND,2018,7,35,711,322022256,167,1824,570765894,1901,17090,3969211778
14, MANIPUR,2018,7,40,1043,232202141,56,389,101642843,1886,17356,3991870174
15, MIZORAM,2018,7,13,298,45687837,45,182,126071595,1282,12245,2673090860
16, TRIPURA,2018,7,390,9982,1448849176,207,1800,1490581248,3103,25007,5919384066
17, MEGHALAYA,2018,7,238,7219,1475798496,306,24848,4141055763,2645,26130,6041898542
18, ASSAM,2018,7,8110,278802,55858468147,6776,115535,48941715929,20127,207403,73941901027
19, WEST BENGAL,2018,7,34335,1099145,335815129534,34375,570188,253000000000,50570,762564,330000000000
20, JHARKHAND,2018,7,7624,380312,86620632338,5847,191945,110000000000,20041,287162,107000000000
21, ODISHA,2018,7,9635,527811,119902250570,4495,173723,199000000000,22982,280269,134000000000
