State Code,State Name,Year,Month,Intra_State_Supplies_No_Of_Suppliers,Intra_State_Supplies_No_Of_Eway_Bills,Intra_State_Supplies_Asset_Value_Rs_In_Cr,Inter_State_Outward_SuppliesNo_Of_Suppliers,Inter_State_Outward_SuppliesNo_Of_Eway_Bills,Inter_State_Outward_Supplies_Asset_Value_Rs_ In_Cr,Inter_State_Inward_SuppliesNo_Of_Suppliers,Inter_State_Inward_Supplies_No_Of_Eway_Bills,Inter_State_Inward_SuppliesAsset_Value_Rs_In_Cr
1,JAMMU AND KASHMIR,2021,3,"5,683","202,617","3,666.37","2,656","36,672","2,511.66","20,179","247,131","6,550.81"
2,HIMACHAL PRADESH,2021,3,"8,548","284,126","5,948.26","5,472","280,227","11,895.27","22,050","325,421","10,349.23"
3,PUNJAB,2021,3,"68,241","1,798,071","43,956.99","48,638","961,181","29,241.88","69,773","982,474","30,943.27"
4,CHANDIGARH,2021,3,"2,413","27,824",520.45,"5,191","87,496","1,785.39","8,399","125,220","2,813.53"
5,UTTARAKHAND,2021,3,"12,856","655,024","11,706.09","8,808","382,289","20,286.19","26,100","516,450","16,031.59"
6,HARYANA,2021,3,"72,420","3,017,532","57,325.33","62,708","3,097,259","75,017.02","100,451","2,106,422","71,428.44"
7,DELHI,2021,3,"70,210","998,692","38,263.14","128,140","1,788,124","46,238.19","121,847","1,774,707","52,813.44"
8,RAJASTHAN,2021,3,"79,836","1,831,693","44,460.07","52,463","1,541,835","40,396.85","99,049","1,358,089","45,735.49"
9,UTTAR PRADESH,2021,3,"124,275","3,711,080","80,246.51","82,476","1,584,765","65,472.69","190,670","2,779,950","85,328.83"
10,BIHAR,2021,3,"8,033","487,256","10,665.91","7,663","85,048","3,365.90","60,106","899,184","19,532.41"
11,SIKKIM,2021,3,124,"4,630",76.82,191,"6,188","2,560.09","1,737","32,748",965.43
12,ARUNACHAL PRADESH,2021,3,171,"3,025",82.77,228,"1,411",89.73,"2,914","34,543",784.04
13,NAGALAND,2021,3,123,"2,163",92.36,304,"2,465",99.81,"2,504","31,665",689.84
14,MANIPUR,2021,3,78,"5,316",100.34,130,610,41.85,"2,669","44,462",912.7
15,MIZORAM,2021,3,72,"1,137",23.27,97,724,83.69,"1,910","30,771",565.39
16,TRIPURA,2021,3,"1,290","32,044",641.97,444,"2,688",333.91,"4,441","41,451","1,054.21"
17,MEGHALAYA,2021,3,344,"13,701",277.93,470,"39,961",840.71,"3,486","48,623","1,122.15"
18,ASSAM,2021,3,"12,392","496,444","9,596.97","9,878","209,859","6,426.76","26,230","366,175","11,859.10"
19,WEST BENGAL,2021,3,"44,133","1,800,108","48,491.07","41,189","876,065","35,358.58","63,420","1,208,644","42,562.64"
20,JHARKHAND,2021,3,"10,233","537,994","12,610.38","8,606","256,101","15,914.02","27,156","483,225","14,331.29"
21,ODISHA,2021,3,"15,314","943,821","22,486.97","6,519","228,153","25,420.94","32,590","441,640","17,880.99"
22,CHHATTISGARH,2021,3,"5,763","246,103","8,597.64","8,243","176,291","16,852.80","23,851","433,815","14,317.86"
23,MADHYA PRADESH,2021,3,"19,480","592,013","13,416.31","21,055","460,198","22,943.48","73,235","1,067,517","31,661.21"
24,GUJARAT,2021,3,"145,566","4,155,779","122,185.39","133,756","4,849,922","119,989.43","130,837","1,783,191","85,705.01"
25,DAMAN AND DIU,2021,3,0,0,0,2,19,0.22,8,111,1.84
26,DADRA AND NAGAR HAVELI,2021,3,"2,858","124,305","4,774.82","3,752","437,542","17,339.61","5,283","194,078","13,540.30"
27,MAHARASHTRA,2021,3,"135,147","6,070,196","157,148.79","110,980","4,246,493","140,814.34","189,667","2,775,870","127,504.45"
29,KARNATAKA,2021,3,"100,148","4,267,665","74,405.06","50,344","1,919,687","63,623.25","109,797","1,968,949","65,312.50"
30,GOA,2021,3,"1,713","89,040","1,437.06","1,676","68,033","4,584.09","7,122","126,491","4,291.60"
31,LAKSHADWEEP,2021,3,0,0,0,2,3,1.02,44,658,11.25
32,KERALA,2021,3,"40,954","1,575,834","24,148.54","15,338","186,938","9,393.42","53,710","715,877","19,738.32"
