State Code,State Name,Year,Month,Intra_State_Supplies_(No._Of_Suppliers),Intra_State_Supplies_(No._Of_Eway_Bills),Intra_State_Supplies(Asset_Value_(Rs._In_Cr.)),Inter_State_Outward_Supplies(No._Of_Suppliers),Inter_State_Outward_Supplies(No._Of_Eway_Bills),Inter_State_Outward_Supplies(Asset_Value_(Rs_ In_Cr.)),Inter_State_Inward_Supplies(No._Of_Suppliers),Inter_State_Inward_Supplies(No._Of_Eway_Bills),Inter_State_Inward_Supplies(Asset_Value_(Rs._In_Cr.))
1,JAMMU AND KASHMIR,2022,3,"6,696","248,324","465,096.50","3,121","40,328","293,519.86","21,320","260,100","782,412.40"
2,HIMACHAL PRADESH,2022,3,"9,519","309,769","682,179.90","5,880","288,685","1,356,182.49","23,792","343,468","1,232,219.59"
3,PUNJAB,2022,3,"72,713","1,889,175","5,392,047.75","50,998","999,380","3,552,602.08","74,332","1,040,801","3,815,461.71"
4,CHANDIGARH,2022,3,"2,529","31,908","58,817.47","5,419","92,717","213,411.20","8,876","142,784","342,052.59"
5,UTTARAKHAND,2022,3,"14,035","655,157","1,282,897.97","9,553","394,792","2,247,583.37","28,261","521,357","1,812,706.69"
6,HARYANA,2022,3,"79,068","2,990,558","6,678,339.07","67,590","3,497,451","9,034,271.69","108,602","2,146,976","8,844,913.72"
7,DELHI,2022,3,"76,664","1,124,597","4,450,971.49","132,210","1,885,005","5,518,826.72","131,459","2,074,617","6,446,857.97"
8,RAJASTHAN,2022,3,"70,799","1,680,460","5,168,311.74","54,539","1,521,708","4,962,381.63","105,328","1,493,358","6,133,060.79"
9,UTTAR PRADESH,2022,3,"133,978","4,011,376","9,718,848.97","88,940","1,787,007","7,991,590.51","200,674","2,927,392","10,246,855.71"
10,BIHAR,2022,3,"9,238","573,471","1,279,181.77","8,493","106,463","414,941.95","62,394","849,210","2,136,950.89"
11,SIKKIM,2022,3,150,"6,824","15,400.60",204,"6,492","290,899.34","1,920","38,300","120,567.33"
12,ARUNACHAL PRADESH,2022,3,228,"4,103","10,822.50",277,"2,333","14,137.41","3,546","42,069","104,714.13"
13,NAGALAND,2022,3,137,"3,103","9,621.89",339,"9,051","22,163.62","2,704","34,865","71,317.09"
14,MANIPUR,2022,3,113,"4,649","12,896.60",142,923,"6,305.72","2,836","42,177","96,339.77"
15,MIZORAM,2022,3,57,"1,711","3,182.06",87,388,"2,184.86","2,104","33,494","67,208.41"
16,TRIPURA,2022,3,"1,623","42,648","85,767.29",497,"3,001","35,462.63","4,718","44,880","118,666.88"
17,MEGHALAYA,2022,3,439,"18,314","43,862.92",521,"44,360","104,048.31","3,926","54,369","136,415.19"
18,ASSAM,2022,3,"13,881","571,009","1,119,916.78","10,913","222,266","749,981.86","28,433","423,566","1,375,944.66"
19,WEST BENGAL,2022,3,"48,221","2,074,633","6,014,239.93","43,094","970,395","4,549,682.77","67,823","1,238,976","5,311,189.04"
20,JHARKHAND,2022,3,"10,972","613,354","1,607,506.52","8,728","276,120","2,136,642.82","28,475","509,580","1,973,673.63"
21,ODISHA,2022,3,"17,000","1,086,130","2,721,641.37","7,175","305,432","3,688,000.43","34,399","461,513","2,258,785.44"
22,CHHATTISGARH,2022,3,"6,205","305,399","1,102,694.07","8,601","185,232","2,118,695.14","25,765","439,663","1,950,533.91"
23,MADHYA PRADESH,2022,3,"26,731","918,040","2,151,094.98","22,778","518,017","2,909,666.38","76,375","1,075,571","3,735,798.84"
24,GUJARAT,2022,3,"160,925","4,522,723","15,577,718.50","140,419","4,925,259","14,928,480.37","141,292","1,934,641","10,382,948.41"
25,DAMAN AND DIU,2022,3, -   , -   , -   ,1,1,2.3,15,55,"1,538.83"
26,DADRA AND NAGAR HAVELI,2022,3,"3,045","126,127","573,638.13","3,934","462,438","2,091,680.31","5,520","197,540","1,665,664.46"
27,MAHARASHTRA,2022,3,"153,468","7,337,812","20,409,715.35","118,844","4,411,711","17,310,669.85","209,054","3,174,142","15,897,786.28"
29,KARNATAKA,2022,3,"111,591","4,768,730","9,337,962.84","54,882","2,148,241","7,900,468.23","119,463","2,060,129","8,281,507.65"
30,GOA,2022,3,"1,965","100,478","185,849.08","1,789","68,921","556,638.01","7,929","126,291","1,228,025.01"
31,LAKSHADWEEP,2022,3, -   , -   , -   ,2,3,6.34,52,604,750.22
32,KERALA,2022,3,"45,184","1,762,457","2,664,248.21","16,319","196,058","993,149.64","57,993","784,058","2,246,407.81"
33,TAMIL NADU,2022,3,"98,968","5,190,898","11,203,887.89","74,530","2,482,184","9,562,300.58","118,544","2,120,805","9,373,390.97"
